pair_id,name_a,name_b,label,pair_type,cluster_a,cluster_b
p0317,日立製作所,NVIDIA Corporation,0,easy_negative,hitachi,nvidia
p0318,First Solar,Hewlett Packard Enterprise,0,easy_negative,firstsolar,hpe
p0319,Hewlett-Packard,HPQ,1,positive,hp,hp
p0320,General Dynamics,NatWest Group plc,0,easy_negative,gendynamics,rbs
p0321,AMD,Advanced Micro Devices,1,positive,amd,amd
p0322,AB InBev,Taiwan Semiconductor Manufacturing Company Limited,0,easy_negative,abinbev,tsmc
p0323,The Procter & Gamble Company,Procter & Gamble Co.,1,positive,pg,pg
p0324,UPS,Hewlett Packard Enterprise Company,0,easy_negative,ups,hpe
p0325,Hewlett-Packard,Hewlett Packard,1,positive,hp,hp
p0326,Exxon Mobil Corporation,ExxonMobil,1,positive,exxon,exxon
p0327,Hewlett Packard Enterprise Company,Toyota Motor Corp,0,easy_negative,hpe,toyota
p0328,The Boeing Company,BA,1,positive,boeing,boeing
p0329,SAP AG,SAP,1,positive,sap,sap
p0330,Minnesota Mining and Manufacturing,3M,1,positive,mmm,mmm
p0331,GlaxoSmithKline plc,XOM,0,easy_negative,gsk,exxon
p0332,삼성전자,Samsung Elec,1,positive,samsung,samsung
p0333,Merck Sharp & Dohme,Merck Group,0,hard_negative,merck_us,merck_de
p0334,F. Hoffmann-La Roche,Roche,1,positive,roche,roche
p0335,Siemens AG,Siemens,1,positive,siemens,siemens
p0336,Johnson and Johnson,J&J,1,positive,jnj,jnj
p0337,Lincoln Electric,Unilever,0,easy_negative,lincoln_elec,unilever
p0338,Oracle,J&J,0,easy_negative,oracle,jnj
p0339,OAO Gazprom,AMZN,0,easy_negative,gazprom,amazon
p0340,Honda,Honda Motor,1,positive,honda,honda
p0341,AB InBev,Anheuser Busch InBev,1,positive,abinbev,abinbev
p0342,L'Oreal,L'Oréal,1,positive,loreal,loreal
p0343,"Facebook, Inc.",Meta,1,positive,meta,meta
p0344,General Motors,"Tesla Motors, Inc.",0,hard_negative,gm,tesla
p0345,A.P. Moller-Maersk A/S,Maersk,1,positive,maersk,maersk
p0346,General Motors,GM,1,positive,gm,gm
p0347,Standard Chartered PLC,Standard & Poor's,0,hard_negative,stanchart,sandp
p0348,Lincoln Financial Group,"Lincoln Electric Holdings, Inc.",0,hard_negative,lincoln_fin,lincoln_elec
p0349,Microsoft Corporation,MSFT,1,positive,microsoft,microsoft
p0350,Hewlett Packard,Hewlett Packard Enterprise Company,0,hard_negative,hp,hpe
p0351,Fiat Chrysler Automobiles,Stellantis,1,positive,stellantis,stellantis
p0352,American Express Company,American Airlines,0,hard_negative,amex,amer_air
p0353,American Electric Power,AEP,1,positive,aep,aep
p0354,Deutsche Bank,Deutsche Telekom,0,hard_negative,deutschebank,deutschetelekom
p0355,United Airlines,American Airlines,0,hard_negative,united_air,amer_air
p0356,DAL,GSK plc,0,easy_negative,delta_air,gsk
p0357,"The Goldman Sachs Group, Inc.","Honda Motor Co., Ltd.",0,easy_negative,goldman,honda
p0358,NKE,Banco Santander,0,easy_negative,nike,santander
p0359,"General Mills, Inc.",General Dynamics Corporation,0,hard_negative,genmills,gendynamics
p0360,Deutsche Telekom AG,Deutsche Post DHL Group,0,hard_negative,deutschetelekom,deutschepost
p0361,"Tesla, Inc.",TSLA,1,positive,tesla,tesla
p0362,HP Inc.,Hewlett-Packard,1,positive,hp,hp
p0363,Mercedes-Benz Group AG,Daimler AG,1,positive,mercedes,mercedes
p0364,"Cisco Systems, Inc.",CSCO,1,positive,cisco,cisco
p0365,CRM,Aple Inc,0,easy_negative,salesforce,apple
p0366,The Boeing Company,Boeing Co,1,positive,boeing,boeing
p0367,Tata Motors,Tata Steel Limited,0,hard_negative,tatamotors,tatasteel
p0368,Procter & Gamble Co.,Procter and Gamble,1,positive,pg,pg
p0369,Deutsche Bank,Deutsche Telekom AG,0,hard_negative,deutschebank,deutschetelekom
p0370,Airbus Group,GlaxoSmithKline plc,0,easy_negative,airbus,gsk
p0371,Samsung Electronics,Samsung Heavy Industries,0,hard_negative,samsung,samsung_heavy
p0372,"Merck & Co., Inc.",Merck and Co,1,positive,merck_us,merck_us
p0373,American Telephone & Telegraph,American Airlines,0,hard_negative,att,amer_air
p0374,AT&T,American Telephone & Telegraph,1,positive,att,att
p0375,Tata Consultancy Services Limited,Tata Steel,0,hard_negative,tcs,tatasteel
p0376,Amex,AXP,1,positive,amex,amex
p0377,"Apple Computer, Inc.",Apple,1,positive,apple,apple
p0378,General Mills,General Dynamics Corporation,0,hard_negative,genmills,gendynamics
p0379,Maersk,A.P. Møller – Mærsk,1,positive,maersk,maersk
p0380,American Express Company,AXP,1,positive,amex,amex
p0381,"Delta Electronics, Inc.",Google Inc.,0,easy_negative,delta_elec,google
p0382,Siemens Aktiengesellschaft,Siemens,1,positive,siemens,siemens
p0383,HP Inc.,Visa,0,easy_negative,hp,visa
p0384,Bank of China Limited,Royal Bank,0,hard_negative,bankofchina,rbc
p0385,"First Solar, Inc.",FSLR,1,positive,firstsolar,firstsolar
p0386,Deutsche Bank AG,Union Bank of Switzerland,0,hard_negative,deutschebank,ubs
p0387,Alibaba,Saudi Arabian Oil Company,0,easy_negative,alibaba,aramco
p0388,MSD,United Airlines,0,easy_negative,merck_us,united_air
p0389,UnitedHealth Group Incorporated,UnitedHealth Group,1,positive,unitedhealth,unitedhealth
p0390,GE,Genral Electric,1,positive,ge,ge
p0391,Samsung Elec,"Samsung Heavy Industries Co., Ltd.",0,hard_negative,samsung,samsung_heavy
p0392,"Delta Air Lines, Inc.",Delta Electronics,0,hard_negative,delta_air,delta_elec
p0393,"Honda Motor Co., Ltd.","First Solar, Inc.",0,easy_negative,honda,firstsolar
p0394,Pfizer Inc.,Pfizer,1,positive,pfizer,pfizer
p0395,"American Electric Power Company, Inc.","American International Group, Inc.",0,hard_negative,aep,aig
p0396,Novartis AG,Novartis,1,positive,novartis,novartis
p0397,Credit Agricole,TSMC,0,easy_negative,creditagricole,tsmc
p0398,American Airlines,American International Group,0,hard_negative,amer_air,aig
p0399,The Home Depot,Raytheon Technologies,0,easy_negative,homedepot,rtx
p0400,McDonald's Corporation,MCD,1,positive,mcdonalds,mcdonalds
p0401,Bayerische Motoren Werke AG,BMW AG,1,positive,bmw,bmw
p0402,TSMC,Taiwan Semiconductor,1,positive,tsmc,tsmc
p0403,Santander,Banco Santander,1,positive,santander,santander
p0404,JP Morgan,J.P. Morgan,1,positive,jpmorgan,jpmorgan
p0405,Johnson and Johnson,"S. C. Johnson & Son, Inc.",0,hard_negative,jnj,scjohnson
p0406,Stellantis N.V.,Stellantis,1,positive,stellantis,stellantis
p0407,"Amazon.com, Inc.",Amazon,1,positive,amazon,amazon
p0408,Royal Dutch Shell,Shell,1,positive,shell,shell
p0409,"Meta Platforms, Inc.",Meta,1,positive,meta,meta
p0410,Deutsche Bank,Bank of China,0,hard_negative,deutschebank,bankofchina
p0411,"Tesla, Inc.",Tesla,1,positive,tesla,tesla
p0412,Crédit Agricole,Hewlett Packard Enterprise Company,0,easy_negative,creditagricole,hpe
p0413,Novartis International AG,AZN,0,easy_negative,novartis,astrazeneca
p0414,Mastercard Incorporated,MasterCard,1,positive,mastercard,mastercard
p0415,Hewlett-Packard,Hewlett Packard Enterprise,0,hard_negative,hp,hpe
p0416,"Netflix, Inc.",Procter and Gamble,0,easy_negative,netflix,pg
p0417,Siemens AG,Siemens Aktiengesellschaft,1,positive,siemens,siemens
p0418,Bank of Montreal,First Republic Bank,0,hard_negative,bankofmontreal,firstrepublic
p0419,"Salesforce, Inc.","Salesforce.com, Inc.",1,positive,salesforce,salesforce
p0420,UBS Group AG,Union Bank of Switzerland,1,positive,ubs,ubs
p0421,Deutsche Telekom AG,Deutsche Post AG,0,hard_negative,deutschetelekom,deutschepost
p0422,Tata Consultancy Services Limited,TCS,1,positive,tcs,tcs
p0423,General Motors Company,Tata Motors Limited,0,hard_negative,gm,tatamotors
p0424,Honda,本田技研工業,1,positive,honda,honda
p0425,Verizon,VZ,1,positive,verizon,verizon
p0426,HSBC Holdings plc,Crédit Suisse,0,easy_negative,hsbc,creditsuisse
p0427,American Airlines Group Inc.,American International Group,0,hard_negative,amer_air,aig
p0428,International Business Machines Corporation,I.B.M.,1,positive,ibm,ibm
p0429,General Electric Co.,Genral Electric,1,positive,ge,ge
p0430,United Airlines,"United Parcel Service, Inc.",0,hard_negative,united_air,ups
p0431,Hitachi,Hewlett Packard Enterprise Company,0,easy_negative,hitachi,hpe
p0432,Genral Motors,"Tesla Motors, Inc.",0,hard_negative,gm,tesla
p0433,Chevron Corporation,Wal Mart,0,easy_negative,chevron,walmart
p0434,Sony Corporation,ソニー,1,positive,sony,sony
p0435,3M Company,MMM,1,positive,mmm,mmm
p0436,American Airlines,"American Electric Power Company, Inc.",0,hard_negative,amer_air,aep
p0437,"The Goldman Sachs Group, Inc.",Goldman Sachs,1,positive,goldman,goldman
p0438,General Motors,General Mills,0,hard_negative,gm,genmills
p0439,Hongkong and Shanghai Banking Corporation,Procter and Gamble,0,easy_negative,hsbc,pg
p0440,"S. C. Johnson & Son, Inc.",SC Johnson,1,positive,scjohnson,scjohnson
p0441,Chevron Corporation,CVX,1,positive,chevron,chevron
p0442,Credit Suisse,Crédit Suisse,1,positive,creditsuisse,creditsuisse
p0443,"The Home Depot, Inc.","Apple Computer, Inc.",0,easy_negative,homedepot,apple
p0444,CRM,Hitachi,0,easy_negative,salesforce,hitachi
p0445,"Amazon.com, Inc.",ASML Holding N.V.,0,easy_negative,amazon,asml
p0446,Cisco Systems,Cisco,1,positive,cisco,cisco
p0447,United Parcel Service,Daimler AG,0,easy_negative,ups,mercedes
p0448,TotalEnergies SE,Total S.A.,1,positive,total,total
p0449,Ford Motor Company,Ford,1,positive,ford,ford
p0450,American Airlines Group Inc.,AAL,1,positive,amer_air,amer_air
p0451,Berkshire Hathaway Inc.,Berkshire,1,positive,berkshire,berkshire
p0452,IBM,I.B.M.,1,positive,ibm,ibm
p0453,ASML,ASML Holding,1,positive,asml,asml
p0454,GSK,Siemens,0,easy_negative,gsk,siemens
p0455,Hewlett Packard Enterprise Company,HPE,1,positive,hpe,hpe
p0456,Citigroup,Citi,1,positive,citi,citi
p0457,Union Bank of Switzerland,Royal Bank of Scotland Group,0,hard_negative,ubs,rbs
p0458,Crédit Agricole,AllianceBernstein,0,easy_negative,creditagricole,alliancebernstein
p0459,Apple,AAPL,1,positive,apple,apple
p0460,General Electric Co.,Standard & Poor's,0,easy_negative,ge,sandp
p0461,McDonald's Corporation,McDonalds,1,positive,mcdonalds,mcdonalds
p0462,Coca Cola,Alphabet Inc.,0,easy_negative,cocacola,alphabet
p0463,Visa Inc.,V,1,positive,visa,visa
p0464,NatWest Group plc,RBS,1,positive,rbs,rbs
p0465,Delta Air Lines,DAL,1,positive,delta_air,delta_air
p0466,OAO Gazprom,"Samsung Electronics Co., Ltd.",0,easy_negative,gazprom,samsung
p0467,Bank of America Corporation,Royal Bank,0,hard_negative,bofa,rbc
p0468,United Air Lines,"United Parcel Service, Inc.",0,hard_negative,united_air,ups
p0469,Procter & Gamble Co.,Proctor & Gamble,1,positive,pg,pg
p0470,ASML Holding N.V.,CVX,0,easy_negative,asml,chevron
p0471,NVDA,Nvidia Corp,1,positive,nvidia,nvidia
p0472,Google Inc.,Google,1,positive,google,google
p0473,Crédit Suisse,BMO,0,easy_negative,creditsuisse,bankofmontreal
p0474,UnitedHealth Group Incorporated,Saudi Arabian Oil Company,0,easy_negative,unitedhealth,aramco
p0475,Airbus SE,Airbus Group,1,positive,airbus,airbus
p0476,Bank of China,中国银行,1,positive,bankofchina,bankofchina
p0477,"American International Group, Inc.",American International Group,1,positive,aig,aig
p0478,RTX Corporation,Raytheon Technologies,1,positive,rtx,rtx
p0479,DHL Group,INTC,0,easy_negative,deutschepost,intel
p0480,Bank of America,Royal Bank,0,hard_negative,bofa,rbc
p0481,S&P Global Inc.,Standard & Poor's,1,positive,sandp,sandp
p0482,United Air Lines,"Delta Air Lines, Inc.",0,hard_negative,united_air,delta_air
p0483,Samsung Electronics,Samsung Elec,1,positive,samsung,samsung
p0484,Berkshire Hathaway,Berkshire,1,positive,berkshire,berkshire
p0485,Tata Consultancy Services Limited,Tata Consultancy Services,1,positive,tcs,tcs
p0486,Toyota Motor Corporation,MCD,0,easy_negative,toyota,mcdonalds
p0487,"Meta Platforms, Inc.","Facebook, Inc.",1,positive,meta,meta
p0488,Citigroup,C,1,positive,citi,citi
p0489,UnitedHealth Group Incorporated,UNH,1,positive,unitedhealth,unitedhealth
p0490,VW,Hewlett Packard Enterprise,0,easy_negative,vw,hpe
p0491,Volkswagen AG,Volkswagen Aktiengesellschaft,1,positive,vw,vw
p0492,Toyota Motor Corp,"Honda Motor Co., Ltd.",0,hard_negative,toyota,honda
p0493,Nestlé S.A.,Société des Produits Nestlé,1,positive,nestle,nestle
p0494,American Telephone & Telegraph,American Electric Power,0,hard_negative,att,aep
p0495,"Samsung Electronics Co., Ltd.",Samsung Electronics,1,positive,samsung,samsung
p0496,Roche Holding AG,Roche,1,positive,roche,roche
p0497,Anheuser-Busch InBev SA/NV,Aple Inc,0,easy_negative,abinbev,apple
p0498,ASML Holding N.V.,Home Depot,0,easy_negative,asml,homedepot
p0499,Amazon.com,"Salesforce.com, Inc.",0,hard_negative,amazon,salesforce
p0500,American Express Company,American Express,1,positive,amex,amex
p0501,J.P. Morgan,JPMorgan Chase,1,positive,jpmorgan,jpmorgan
p0502,Merck Sharp & Dohme,E. Merck,0,hard_negative,merck_us,merck_de
p0503,United Airlines,United Air Lines,1,positive,united_air,united_air
p0504,MCD,S&P Global Inc.,0,easy_negative,mcdonalds,sandp
p0505,BP p.l.c.,British Petroleum,1,positive,bp,bp
p0506,Total S.A.,TotalEnergies,1,positive,total,total
p0507,Chevron,UPS,0,easy_negative,chevron,ups
p0508,Bank of America Corporation,Bank of Montreal,0,hard_negative,bofa,bankofmontreal
p0509,Mastercard Incorporated,Mastercard,1,positive,mastercard,mastercard
p0510,American Telephone & Telegraph,"American International Group, Inc.",0,hard_negative,att,aig
p0511,Nestlé S.A.,Pfizer Inc.,0,easy_negative,nestle,pfizer
p0512,BRK.A,Amazon,0,easy_negative,berkshire,amazon
p0513,P&G,Proctor & Gamble,1,positive,pg,pg
p0514,General Electric Co.,General Dynamics,0,hard_negative,ge,gendynamics
p0515,Genral Motors,Tata Motors,0,hard_negative,gm,tatamotors
p0516,BMO,PEP,0,easy_negative,bankofmontreal,pepsico
p0517,Credit Suisse,Credit Agricole,0,hard_negative,creditsuisse,creditagricole
p0518,Deutsche Telekom AG,Deutsche Telekom,1,positive,deutschetelekom,deutschetelekom
p0519,TotalEnergies,General Motors,0,easy_negative,total,gm
p0520,Taiwan Semiconductor Manufacturing Company Limited,TSMC,1,positive,tsmc,tsmc
p0521,General Motors Company,Genral Motors,1,positive,gm,gm
p0522,Union Bank of Switzerland,Bank of China Limited,0,hard_negative,ubs,bankofchina
p0523,S&P Global Inc.,NVIDIA Corporation,0,easy_negative,sandp,nvidia
p0524,United Air Lines,UAL,1,positive,united_air,united_air
p0525,Honda Motor,本田技研工業,1,positive,honda,honda
p0526,Hewlett Packard Enterprise,HPE,1,positive,hpe,hpe
p0527,PEP,"Delta Electronics, Inc.",0,easy_negative,pepsico,delta_elec
p0528,American Telephone & Telegraph,American Airlines Group Inc.,0,hard_negative,att,amer_air
p0529,United Air Lines,United Parcel Service,0,hard_negative,united_air,ups
p0530,Deutsche Post AG,Deutsche Post DHL Group,1,positive,deutschepost,deutschepost
p0531,Coca-Cola Co,KO,1,positive,cocacola,cocacola
p0532,Toyota Motor Corp,Ford Motor Co.,0,hard_negative,toyota,ford
p0533,NKE,Tata Motors Limited,0,easy_negative,nike,tatamotors
p0534,Bank of China,Royal Bank of Scotland Group,0,hard_negative,bankofchina,rbs
p0535,Tesla,TSLA,1,positive,tesla,tesla
p0536,Volkswagen AG,VW,1,positive,vw,vw
p0537,Shell plc,Газпром,0,easy_negative,shell,gazprom
p0538,"Merck & Co., Inc.",Merck Group,0,hard_negative,merck_us,merck_de
p0539,Toyota Motor Corp,Honda Motor,0,hard_negative,toyota,honda
p0540,Stellantis N.V.,Oracle Corp.,0,easy_negative,stellantis,oracle
p0541,Standard & Poor's,S&P Global,1,positive,sandp,sandp
p0542,Bank of America Corporation,Union Bank of Switzerland,0,hard_negative,bofa,ubs
p0543,Hitachi,"Samsung Heavy Industries Co., Ltd.",0,easy_negative,hitachi,samsung_heavy
p0544,ExxonMobil,XOM,1,positive,exxon,exxon
p0545,American Express,American Telephone & Telegraph,0,hard_negative,amex,att
p0546,Saudi Arabian Oil Company,PFE,0,easy_negative,aramco,pfizer
p0547,VW,Volkswagon,1,positive,vw,vw
p0548,Johnson Controls International plc,SC Johnson,0,hard_negative,johnson_controls,scjohnson
p0549,United Air Lines,Delta Air Lines,0,hard_negative,united_air,delta_air
p0550,Nestle SA,Société des Produits Nestlé,1,positive,nestle,nestle
p0551,Ford Motor Company,Ford Motor Co.,1,positive,ford,ford
p0552,McDonalds,MCD,1,positive,mcdonalds,mcdonalds
p0553,Citigroup Inc.,C,1,positive,citi,citi
p0554,Fiat Chrysler Automobiles,Gazprom,0,easy_negative,stellantis,gazprom
p0555,"Amazon.com, Inc.","Salesforce.com, Inc.",0,hard_negative,amazon,salesforce
p0556,General Electric Company,General Mills,0,hard_negative,ge,genmills
p0557,Maersk,AstraZeneca,0,easy_negative,maersk,astrazeneca
p0558,"Samsung Electronics Co., Ltd.",Samsung Heavy Industries,0,hard_negative,samsung,samsung_heavy
p0559,JP Morgan,JPMorgan Chase,1,positive,jpmorgan,jpmorgan
p0560,International Business Machines Corporation,Novartis International AG,0,hard_negative,ibm,novartis
p0561,BMO,BMO Financial Group,1,positive,bankofmontreal,bankofmontreal
p0562,Bank of China Limited,Royal Bank of Scotland Group,0,hard_negative,bankofchina,rbs
p0563,Deutsche Bank AG,Deutsche Post DHL Group,0,hard_negative,deutschebank,deutschepost
p0564,Apple Inc.,Apple,1,positive,apple,apple
p0565,General Electric Company,American Electric Power,0,hard_negative,ge,aep
p0566,General Dynamics,GD,1,positive,gendynamics,gendynamics
p0567,Toyota,トヨタ自動車,1,positive,toyota,toyota
p0568,Boeing Co,BA,1,positive,boeing,boeing
p0569,Ford Motor Co.,"Honda Motor Co., Ltd.",0,hard_negative,ford,honda
p0570,Minnesota Mining and Manufacturing,MMM,1,positive,mmm,mmm
p0571,Pfizer Inc.,PFE,1,positive,pfizer,pfizer
p0572,American Telephone & Telegraph,Unilever,0,easy_negative,att,unilever
p0573,International Business Machines Corporation,Internationl Business Machines,1,positive,ibm,ibm
p0574,I.B.M.,Royal Bank,0,easy_negative,ibm,rbc
p0575,American Express,American Airlines,0,hard_negative,amex,amer_air
p0576,Bank of America Corporation,Deutsche Bank AG,0,hard_negative,bofa,deutschebank
p0577,American Electric Power,American International Group,0,hard_negative,aep,aig
p0578,Bank of Montreal,BMO,1,positive,bankofmontreal,bankofmontreal
p0579,Airbus Group,EADS,1,positive,airbus,airbus
p0580,Shell plc,Royal Dutch Shell,1,positive,shell,shell
p0581,GlaxoSmithKline plc,GlaxoSmithKline,1,positive,gsk,gsk
p0582,The Boeing Company,Boeing,1,positive,boeing,boeing
p0583,Raytheon Technologies,Raytheon,1,positive,rtx,rtx
p0584,Bank of America Corporation,First Republic Bank,0,hard_negative,bofa,firstrepublic
p0585,Cisco,CSCO,1,positive,cisco,cisco
p0586,General Electric Company,General Dynamics,0,hard_negative,ge,gendynamics
p0587,"American Electric Power Company, Inc.",American International Group,0,hard_negative,aep,aig
p0588,"First Solar, Inc.",First Republic,0,hard_negative,firstsolar,firstrepublic
p0589,"Samsung Heavy Industries Co., Ltd.",BMO,0,easy_negative,samsung_heavy,bankofmontreal
p0590,Gazprom,Газпром,1,positive,gazprom,gazprom
p0591,Merck KGaA,General Electric Company,0,easy_negative,merck_de,ge
p0592,AllianceBernstein Holding L.P.,Alliance Bernstein,1,positive,alliancebernstein,alliancebernstein
p0593,American Airlines Group Inc.,American Electric Power,0,hard_negative,amer_air,aep
p0594,Tata Motors Limited,Tata Steel,0,hard_negative,tatamotors,tatasteel
p0595,Saudi Arabian Oil Company,Saudi Aramco,1,positive,aramco,aramco
p0596,Johnson Controls,Citi,0,easy_negative,johnson_controls,citi
p0597,General Motors Company,General Electric Co.,0,hard_negative,gm,ge
p0598,The Coca-Cola Company,Coca-Cola Co,1,positive,cocacola,cocacola
p0599,Alphabet,GOOGL,1,positive,alphabet,alphabet
p0600,Merck and Co,Alibaba Group Holding Limited,0,easy_negative,merck_us,alibaba
p0601,American Express Company,Amex,1,positive,amex,amex
p0602,Novartis AG,Novartis International AG,1,positive,novartis,novartis
p0603,BP,AMZN,0,easy_negative,bp,amazon
p0604,Home Depot,The Home Depot,1,positive,homedepot,homedepot
p0605,GlaxoSmithKline plc,Gazprom,0,easy_negative,gsk,gazprom
p0606,Tata Motors Limited,Tata Motors,1,positive,tatamotors,tatamotors
p0607,IBM,Internationl Business Machines,1,positive,ibm,ibm
p0608,"Merck & Co., Inc.",MSD,1,positive,merck_us,merck_us
p0609,"Delta Electronics, Inc.",Delta Electronics,1,positive,delta_elec,delta_elec
p0610,Tata Consultancy Services Limited,Tata Motors,0,hard_negative,tcs,tatamotors
p0611,"First Solar, Inc.","Delta Electronics, Inc.",0,easy_negative,firstsolar,delta_elec
p0612,Deutsche Bank,Deutsche Post DHL Group,0,hard_negative,deutschebank,deutschepost
p0613,Coca-Cola Co,Coca Cola,1,positive,cocacola,cocacola
p0614,General Dynamics Corporation,GD,1,positive,gendynamics,gendynamics
p0615,Royal Dutch Shell,Royal Bank of Scotland Group,0,hard_negative,shell,rbs
p0616,Bank of China,Royal Bank of Canada,0,hard_negative,bankofchina,rbc
p0617,BMW AG,BMW,1,positive,bmw,bmw
p0618,Lincoln National Corporation,Lincoln Financial Group,1,positive,lincoln_fin,lincoln_fin
p0619,Deutsche Bank,Royal Bank of Scotland Group,0,hard_negative,deutschebank,rbs
p0620,Amex,TCS,0,easy_negative,amex,tcs
p0621,American Express,"American International Group, Inc.",0,hard_negative,amex,aig
p0622,General Electric Company,Genral Electric,1,positive,ge,ge
p0623,Alibaba,PepsiCo,0,easy_negative,alibaba,pepsico
p0624,The Boeing Company,A T & T,0,easy_negative,boeing,att
p0625,Taiwan Semiconductor Manufacturing Company Limited,TSM,1,positive,tsmc,tsmc
p0626,"Honda Motor Co., Ltd.",本田技研工業,1,positive,honda,honda
p0627,McDonalds,McDonald's,1,positive,mcdonalds,mcdonalds
p0628,International Business Machines Corporation,American International Group,0,hard_negative,ibm,aig
p0629,MasterCard,Mastercard,1,positive,mastercard,mastercard
p0630,Union Bank of Switzerland,Royal Bank of Canada,0,hard_negative,ubs,rbc
p0631,UBS Group AG,S&P Global,0,easy_negative,ubs,sandp
p0632,日立製作所,MSFT,0,easy_negative,hitachi,microsoft
p0633,Bank of America Corporation,BAC,1,positive,bofa,bofa
p0634,Johnson & Johnson,Johnson Controls International plc,0,hard_negative,jnj,johnson_controls
p0635,Union Bank of Switzerland,Bank of China,0,hard_negative,ubs,bankofchina
